ds,yhat,yhat_lower,yhat_upper
2025-04-01,722.0941886764354,177.1539641071258,1227.8009108171996
2025-04-02,516.649616279448,-84.20916050020904,1064.035193950576
2025-04-03,797.4470785570195,208.6582012360831,1328.808073539062
2025-04-04,491.9339063789262,-33.46173616096974,1058.447512392542
2025-04-05,629.2607618118448,102.59609546995995,1174.9008140241328
2025-04-06,741.7919965417142,228.94367942993935,1229.8115391797824
2025-04-07,786.327813943067,282.2793550483874,1352.5617210851647
2025-04-08,688.9206184155889,161.1789634709384,1236.3928626583236
2025-04-09,498.3838328231018,-51.7458758997277,1079.4255491161443
2025-04-10,791.4100025554421,245.04845411097608,1349.7014809396842
2025-04-11,499.4447688845906,-40.88205028334699,1035.0702378992676
2025-04-12,647.2694236985978,91.55121466594652,1194.851578100745
2025-04-13,768.5265896371478,208.1846662192114,1323.2005221617899
2025-04-14,819.9409264266973,279.9519691945702,1341.195808178249
2025-04-15,727.5266839627931,172.53560088299,1254.5125273602503
2025-04-16,540.1060397076944,24.049164748863365,1084.592078728845
2025-04-17,835.8230977099204,269.22856719985873,1430.9534450643823
2025-04-18,540.222629085725,-22.52602646855572,1084.2915033855293
2025-04-19,687.7712823180775,151.06928628314222,1237.5711262439577
2025-04-20,805.5064679393289,271.67238176301885,1319.3676436565609
2025-04-21,852.114278582859,329.47732475691583,1415.6386551548703
2025-04-22,753.8107388784614,267.18829056419946,1327.9203967538683
2025-04-23,559.6298038984962,12.915187762595195,1119.7064714922462
2025-04-24,847.9347745269826,299.2708246664977,1386.1770880497922
2025-04-25,546.2770114533132,13.535050467709116,1115.3684772941147
2025-04-26,683.9816467863483,124.1115422979846,1230.2947329762164
2025-04-27,793.6505964022892,270.18696366463945,1365.0399682454333
2025-04-28,832.3761313094199,258.7363700016715,1373.2707926533299
2025-04-29,726.5476631474539,197.20055117599148,1273.571574945754
2025-04-30,525.3503144597996,-47.68181920730557,1034.502753146073
2025-05-01,807.2736637320137,279.5810554355074,1356.3662388053626
2025-05-02,499.96864309332534,-61.94727938459249,1034.3456377371995
2025-05-03,632.8323076186086,75.68722177423972,1161.360552114783
2025-05-04,738.5107718526388,173.31334069350928,1296.8780431951182
2025-05-05,774.1135388297788,237.99454785879215,1335.026155100958
2025-05-06,666.0218190557582,157.42053297947692,1162.2860242254633
2025-05-07,463.3893306091457,-71.65052634381341,1022.7201439409084
2025-05-08,744.6538714907774,223.45064468269217,1309.5725756581317
2025-05-09,437.3975281028324,-92.85746938059981,1008.0395593079351
2025-05-10,570.9351128811735,-20.70172634626802,1126.0004374149696
2025-05-11,677.820993396109,116.6960796871538,1207.1088693268532
2025-05-12,722.7467482550868,176.90104004352878,1263.9923376729485
2025-05-13,608.9566868266465,84.86917255809934,1149.5927392517358
2025-05-14,408.5458703757105,-110.9594007378104,929.8396180441191
2025-05-15,692.1816791456274,167.03769455639696,1205.655005648717
2025-05-16,387.3638088540424,-170.67172290182026,938.7931893131466
2025-05-17,523.3359235131796,-26.330266586326722,1015.666986251591
2025-05-18,632.5944805695658,88.31443452059102,1184.7328689988574
2025-05-19,672.1084203109704,162.77540810905685,1278.3777872485637
2025-05-20,568.132153584173,14.779605100177953,1125.6416729550867
2025-05-21,369.71020375629865,-152.45207890300793,950.8072849951942
2025-05-22,655.1916909402681,94.50151858518218,1216.6206467151785
2025-05-23,352.0924541885307,-187.83520746097517,873.9842256788982
2025-05-24,489.68437244249503,-105.62992534551255,1032.9661215619542
2025-05-25,600.5020514078612,-13.236686811395144,1161.5743299222179
2025-05-26,641.5600056995471,128.42693782073374,1200.8853986552278
2025-05-27,539.1628729040482,-2.935307707063419,1113.0017961351193
2025-05-28,342.4071262053464,-206.7498287245901,886.0132010344965
2025-05-29,629.692588390386,99.08397014433537,1171.0956261602312
2025-05-30,328.58165798614453,-227.24960643647606,887.5930558448449
2025-05-31,468.3859193897987,-72.8276519753058,1038.570474437608
2025-06-01,581.6704085811349,31.554795174541002,1115.277074804503
2025-06-02,625.4687559154097,60.886188559547335,1184.8686306132656
2025-06-03,526.0918214001126,-43.910912546110325,1045.7008548727854
2025-06-04,332.6283514270222,-195.67763988700847,879.989975322601
2025-06-05,623.456002236649,98.17154337467399,1136.737989759888
2025-06-06,326.10066367579105,-223.06731744073647,893.1802815993793
2025-06-07,472.1135876597485,-48.99106040389382,1009.5868714133712
2025-06-08,587.1277584221203,63.51524817625248,1121.6851156513521
2025-06-09,634.9731288812264,96.96326206802634,1187.465148642725
2025-06-10,539.5892087350136,-34.665104146603234,1109.230301699997
2025-06-11,349.97752644348725,-236.58487441509493,884.3292849682804
2025-06-12,644.4257775048363,97.78134525174899,1211.1808250414367
2025-06-13,350.3703032686359,-182.98296215789162,881.1008428584744
2025-06-14,496.9866322614003,-64.19678328131161,1047.793033747496
2025-06-15,616.6982196581649,99.02955734452665,1167.3449168764566
2025-06-16,666.3964500015005,116.24770793541414,1238.1847998004657
2025-06-17,572.2543464424508,32.98927946377551,1141.8460657931644
2025-06-18,383.2323321202302,-169.43876858846295,953.9487027274591
2025-06-19,677.5942029144211,110.1313415017728,1213.0013732738962
2025-06-20,382.7710608545415,-175.82444201145614,936.3436058076719
2025-06-21,527.9527064994388,-47.90460735277167,1031.4552169367976
2025-06-22,645.5965810508214,103.51757513204731,1186.1410778625147
2025-06-23,692.6472998873462,127.64032159673984,1232.2939063626486
2025-06-24,595.3492194080645,33.77115193502779,1122.6176650621887
2025-06-25,402.75040363352116,-115.06348812214338,957.5206546573638
2025-06-26,693.216193486822,161.49395697908128,1224.1004421626594
